activity_no,event_no,trace_length,transitions,process_entropy,process_type,statespace_size,number_of_traces
22,12,42,5.0,max_entropy,memoryless,10,100.0
18,13,42,5.0,max_entropy,memoryless,10,100.0
12,14,42,5.0,max_entropy,memoryless,10,100.0
10,15,42,5.0,max_entropy,memoryless,10,100.0
10,16,42,5.0,max_entropy,memoryless,10,100.0
10,17,42,5.0,max_entropy,memoryless,10,100.0
10,18,42,5.0,max_entropy,memoryless,10,100.0
9,19,42,5.0,max_entropy,memoryless,10,100.0
8,21,42,5.0,max_entropy,memoryless,10,100.0
8,22,42,5.0,max_entropy,memoryless,10,100.0
8,20,42,5.0,max_entropy,memoryless,10,100.0
6,24,42,5.0,max_entropy,memoryless,10,100.0
6,23,42,5.0,max_entropy,memoryless,10,100.0
5,25,42,5.0,max_entropy,memoryless,10,100.0
5,26,42,5.0,max_entropy,memoryless,10,100.0
5,27,42,5.0,max_entropy,memoryless,10,100.0
5,28,42,5.0,max_entropy,memoryless,10,100.0
3,29,42,5.0,max_entropy,memoryless,10,100.0
1,36,42,5.0,max_entropy,memoryless,10,100.0
1,41,42,5.0,max_entropy,memoryless,10,100.0
1,40,42,5.0,max_entropy,memoryless,10,100.0
1,39,42,5.0,max_entropy,memoryless,10,100.0
1,38,42,5.0,max_entropy,memoryless,10,100.0
1,37,42,5.0,max_entropy,memoryless,10,100.0
1,32,42,5.0,max_entropy,memoryless,10,100.0
1,35,42,5.0,max_entropy,memoryless,10,100.0
1,34,42,5.0,max_entropy,memoryless,10,100.0
1,33,42,5.0,max_entropy,memoryless,10,100.0
1,31,42,5.0,max_entropy,memoryless,10,100.0
1,30,42,5.0,max_entropy,memoryless,10,100.0
1,42,42,5.0,max_entropy,memoryless,10,100.0
100,1,5,5.0,min_entropy,memory,5,100.0
100,2,5,5.0,min_entropy,memory,5,100.0
100,3,5,5.0,min_entropy,memory,5,100.0
100,4,5,5.0,min_entropy,memory,5,100.0
100,5,5,5.0,min_entropy,memory,5,100.0
100,1,28,5.0,med_entropy,memory,5,100.0
79,2,28,5.0,med_entropy,memory,5,100.0
66,3,28,5.0,med_entropy,memory,5,100.0
50,4,28,5.0,med_entropy,memory,5,100.0
45,5,28,5.0,med_entropy,memory,5,100.0
35,6,28,5.0,med_entropy,memory,5,100.0
32,7,28,5.0,med_entropy,memory,5,100.0
25,8,28,5.0,med_entropy,memory,5,100.0
22,9,28,5.0,med_entropy,memory,5,100.0
19,10,28,5.0,med_entropy,memory,5,100.0
13,11,28,5.0,med_entropy,memory,5,100.0
12,12,28,5.0,med_entropy,memory,5,100.0
11,13,28,5.0,med_entropy,memory,5,100.0
10,14,28,5.0,med_entropy,memory,5,100.0
9,16,28,5.0,med_entropy,memory,5,100.0
9,15,28,5.0,med_entropy,memory,5,100.0
8,17,28,5.0,med_entropy,memory,5,100.0
8,18,28,5.0,med_entropy,memory,5,100.0
6,19,28,5.0,med_entropy,memory,5,100.0
5,20,28,5.0,med_entropy,memory,5,100.0
4,21,28,5.0,med_entropy,memory,5,100.0
4,22,28,5.0,med_entropy,memory,5,100.0
4,23,28,5.0,med_entropy,memory,5,100.0
1,24,28,5.0,med_entropy,memory,5,100.0
1,25,28,5.0,med_entropy,memory,5,100.0
1,26,28,5.0,med_entropy,memory,5,100.0
1,27,28,5.0,med_entropy,memory,5,100.0
1,28,28,5.0,med_entropy,memory,5,100.0
100,1,30,5.0,max_entropy,memory,5,100.0
89,2,30,5.0,max_entropy,memory,5,100.0
73,3,30,5.0,max_entropy,memory,5,100.0
57,4,30,5.0,max_entropy,memory,5,100.0
